구분,05:30~05:59,06:00~06:29,06:30~06:59,07:00~07:29,07:30~07:59,08:00~08:29,08:30~08:59,09:00~09:29,09:30~09:59,10:00~10:29,10:30~10:59,11:00~11:29,11:30~11:59,12:00~12:29,12:30~12:59,13:00~13:29,13:30~13:59,14:00~14:29,14:30~14:59,15:00~15:29,15:30~15:59,16:00~16:29,16:30~16:59,17:00~17:29,17:30~17:59,18:00~18:29,18:30~18:59,19:00~19:29,19:30~19:59,20:00~20:29,20:30~20:59,21:00~21:29,21:30~21:59,22:00~22:29,22:30~22:59,23:00~23:29,23:30~23:59,00:00~00:29,00:30~00:59
언주,4 ,8 ,13 ,23 ,35 ,58 ,59 ,48 ,62 ,35 ,26 ,23 ,26 ,21 ,23 ,27 ,28 ,25 ,25 ,26 ,27 ,32 ,37 ,43 ,48 ,56 ,63 ,41 ,26 ,20 ,21 ,21 ,21 ,17 ,17 ,11 ,6 ,6 ,10 
선정릉,4 ,7 ,12 ,22 ,34 ,54 ,62 ,45 ,48 ,33 ,26 ,22 ,27 ,21 ,24 ,26 ,28 ,24 ,23 ,25 ,27 ,32 ,36 ,37 ,45 ,58 ,62 ,43 ,28 ,22 ,22 ,23 ,22 ,19 ,17 ,12 ,8 ,12 ,11 
삼성중앙,5 ,6 ,9 ,13 ,21 ,36 ,35 ,26 ,29 ,23 ,20 ,17 ,22 ,18 ,18 ,21 ,23 ,21 ,21 ,23 ,24 ,29 ,34 ,36 ,44 ,60 ,60 ,43 ,29 ,22 ,23 ,23 ,21 ,19 ,16 ,12 ,9 ,7 ,10 
봉은사,4 ,5 ,6 ,9 ,14 ,23 ,19 ,14 ,14 ,14 ,10 ,10 ,15 ,12 ,13 ,16 ,17 ,17 ,17 ,20 ,23 ,25 ,33 ,33 ,47 ,67 ,67 ,49 ,32 ,22 ,25 ,27 ,24 ,20 ,18 ,12 ,9 ,7 ,9 
종합운동장,4 ,4 ,9 ,10 ,14 ,23 ,24 ,15 ,15 ,16 ,12 ,11 ,17 ,14 ,14 ,18 ,19 ,18 ,19 ,20 ,25 ,29 ,31 ,37 ,51 ,69 ,78 ,54 ,38 ,27 ,30 ,31 ,28 ,25 ,21 ,17 ,12 ,11 ,11 
삼전,5 ,4 ,8 ,11 ,15 ,24 ,22 ,15 ,14 ,14 ,12 ,10 ,16 ,13 ,13 ,15 ,17 ,16 ,16 ,17 ,21 ,24 ,27 ,32 ,42 ,54 ,62 ,42 ,29 ,21 ,22 ,24 ,21 ,19 ,17 ,12 ,8 ,6 ,9 
석촌고분,6 ,4 ,8 ,12 ,15 ,24 ,20 ,13 ,13 ,14 ,11 ,9 ,15 ,13 ,12 ,14 ,15 ,14 ,14 ,15 ,19 ,22 ,24 ,28 ,37 ,48 ,50 ,35 ,22 ,16 ,17 ,20 ,16 ,14 ,12 ,9 ,5 ,5 ,8 
석촌,5 ,4 ,6 ,5 ,8 ,12 ,13 ,8 ,10 ,10 ,8 ,7 ,11 ,9 ,9 ,9 ,11 ,10 ,9 ,10 ,14 ,13 ,15 ,19 ,22 ,27 ,31 ,23 ,17 ,11 ,12 ,12 ,11 ,10 ,9 ,6 ,5 ,5 ,8 
송파나루,4 ,3 ,3 ,3 ,5 ,8 ,6 ,4 ,6 ,6 ,5 ,5 ,7 ,7 ,5 ,6 ,8 ,6 ,6 ,6 ,10 ,8 ,8 ,11 ,15 ,14 ,15 ,12 ,9 ,7 ,7 ,8 ,7 ,6 ,5 ,5 ,3 ,2 ,4 
한성백제,4 ,3 ,3 ,3 ,5 ,7 ,5 ,4 ,5 ,4 ,5 ,4 ,5 ,6 ,4 ,4 ,6 ,5 ,5 ,5 ,7 ,7 ,7 ,10 ,13 ,14 ,13 ,8 ,6 ,5 ,5 ,6 ,5 ,4 ,3 ,4 ,2 ,1 ,4 
올림픽공원,2 ,3 ,2 ,3 ,6 ,5 ,2 ,2 ,3 ,3 ,2 ,2 ,3 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,3 ,4 ,5 ,4 ,5 ,4 ,3 ,3 ,4 ,3 ,2 ,3 ,2 ,2 ,1 ,1 ,2 
둔촌오륜,2 ,2 ,1 ,2 ,3 ,3 ,2 ,2 ,3 ,2 ,3 ,2 ,2 ,3 ,1 ,3 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,4 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,3 ,2 ,3 ,1 ,2 ,1 ,1 ,2 
중앙보훈병원,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
